id,value
Data Science Major,
Data Science Major.Upper Division,
Data Science Major.Upper Division.Core Courses,
Data Science Major.Upper Division.Core Courses.ECON 120A or MATH 183 or MATH 181A,
Data Science Major.Upper Division.Core Courses.MATH 189,
Data Science Major.Upper Division.Core Courses.DSC 100,
Data Science Major.Upper Division.Core Courses.DSC 102,
Data Science Major.Upper Division.Core Courses.DSC 106,
Data Science Major.Upper Division.Core Courses.CSE 150A,
Data Science Major.Upper Division.Core Courses.CSE 151A,
Data Science Major.Upper Division.Core Courses.CSE 158,
Data Science Major.Upper Division.Senior Project,
Data Science Major.Upper Division.Senior Project.DSC 180A-B
Data Science Major.Upper Division.Electives,
Data Science Major.Lower Division,
Data Science Major.Lower Division.Data Science,
Data Science Major.Lower Division.Data Science.COGS 9,
Data Science Major.Lower Division.Data Science.DSC 20,
Data Science Major.Lower Division.Data Science.DSC 30,
Data Science Major.Lower Division.Data Science.DSC 40A-B,
Data Science Major.Lower Division.Data Science.DSC 80,
Data Science Major.Lower Division.Mathematics,
Data Science Major.Lower Division.Mathematics.MATH 18 or MATH 31AH,
Data Science Major.Lower Division.Mathematics.MATH 20A-B-C or MATH 31BH,
Data Science Major.Lower Division.Subject Domain Courses,
Data Science Major.Lower Division.Subject Domain Courses.Business Analytics and Econometrics,
Data Science Major.Lower Division.Subject Domain Courses.Business Analytics and Econometrics.ECON 1,
Data Science Major.Lower Division.Subject Domain Courses.Business Analytics and Econometrics.ECON 3,
Data Science Major.Lower Division.Subject Domain Courses.Machine Learning and Artificial Intelligence,
Data Science Major.Lower Division.Subject Domain Courses.Machine Learning and Artificial Intelligence.COGS 14A,
Data Science Major.Lower Division.Subject Domain Courses.Machine Learning and Artificial Intelligence.COGS 14B,
Data Science Major.Lower Division.Subject Domain Courses.Science,
Data Science Major.Lower Division.Subject Domain Courses.Science.BILD 1,
Data Science Major.Lower Division.Subject Domain Courses.Science.BILD 3,
Data Science Major.Lower Division.Subject Domain Courses.Social Sciences,
Data Science Major.Lower Division.Subject Domain Courses.Social Sciences.POLI 5 or SOCI 60,
Data Science Major.Lower Division.Subject Domain Courses.Social Sciences.POLI 30 or USP 4,
